country,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,Childmotality_g_per_1000born2005,Childmotality_g_per_1000born2006,Childmotality_g_per_1000born2007,Childmotality_g_per_1000born2008,Childmotality_g_per_1000born2009,Childmotality_g_per_1000born2010,Childmotality_g_per_1000born2011,Childmotality_g_per_1000born2012,Childmotality_g_per_1000born2013,Childmotality_g_per_1000born2014,Childmotality_g_per_1000born2015,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015
China,2740,3070,3490,3810,4140,4560,4970,5340,5720,6110,6500,24,21.9,20.1,18.5,17,15.8,14.6,13.5,12.5,11.6,10.7,1330000000,1340000000,1350000000,1350000000,1360000000,1370000000,1380000000,1380000000,1390000000,1400000000,1410000000
India,971,1040,1130,1160,1240,1350,1420,1470,1550,1650,1760,74.4,71.1,67.9,64.7,61.4,58.2,55.1,52.1,49.1,46.3,43.6,1150000000,1170000000,1180000000,1200000000,1220000000,1230000000,1250000000,1270000000,1280000000,1300000000,1310000000
United States,48800,49600,50000,49400,47600,48400,48800,49500,50000,50900,51900,7.96,7.86,7.75,7.61,7.47,7.33,7.2,7.08,6.97,6.88,6.8,295000000,298000000,301000000,303000000,306000000,309000000,312000000,314000000,316000000,319000000,321000000
Indonesia,2520,2620,2750,2880,2970,3110,3260,3420,3560,3690,3830,41.9,40.1,38.5,37,35.5,34.1,32.8,31.5,30.3,29.1,28,226000000,229000000,232000000,235000000,239000000,242000000,245000000,248000000,252000000,255000000,258000000
Brazil,9500,9760,10200,10700,10500,11200,11600,11700,11900,11900,11400,24.9,23.3,21.9,20.7,19.6,18.7,17.9,17.3,16.7,16.2,15.7,186000000,188000000,190000000,192000000,194000000,196000000,198000000,199000000,201000000,203000000,204000000
Pakistan,975,1010,1040,1040,1050,1040,1050,1060,1080,1110,1140,99.8,97.3,94.9,92.4,90,87.5,85.1,82.8,80.5,78.2,76,160000000,164000000,168000000,172000000,176000000,179000000,183000000,187000000,191000000,195000000,199000000
Nigeria,1880,1980,2060,2130,2220,2330,2380,2410,2480,2560,2560,156,151,146,142,138,135,133,130,129,127,125,139000000,143000000,146000000,150000000,154000000,159000000,163000000,167000000,172000000,176000000,181000000
Bangladesh,599,630,666,699,726,758,797,840,880,922,972,66.1,62.4,58.8,55.4,52.2,49.1,46.2,43.4,40.8,38.4,36.1,139000000,141000000,143000000,144000000,146000000,148000000,149000000,151000000,153000000,155000000,156000000
Russia,8930,9690,10500,11100,10200,10700,11200,11600,11800,11700,11300,13.7,12.8,11.9,11.2,10.7,10.3,10.1,9.8,9.47,9.05,8.53,144000000,143000000,143000000,143000000,143000000,143000000,144000000,144000000,144000000,145000000,145000000
Japan,44400,45000,45700,45200,42700,44500,44500,45300,46200,46500,47200,3.74,3.63,3.52,3.41,3.3,3.2,3.4,3,2.91,2.82,3.02,128000000,128000000,128000000,129000000,129000000,129000000,128000000,128000000,128000000,128000000,128000000
Mexico,9060,9330,9390,9350,8710,9020,9210,9410,9400,9540,9720,20.5,19.7,19,18.4,17.9,17.4,16.9,16.4,15.9,15.4,14.8,106000000,108000000,109000000,111000000,112000000,114000000,116000000,117000000,119000000,120000000,122000000
Philippines,1820,1880,1970,2020,2010,2130,2170,2280,2400,2510,2620,34.4,33.8,33.3,32.8,32.4,32,31.6,31.2,30.9,30.5,30.1,86300000,87900000,89400000,90900000,92400000,94000000,95600000,97200000,98900000,101000000,102000000
Ethiopia,233,251,272,294,311,341,370,391,421,453,487,110,104,98.2,92.8,87.7,82.9,78.5,74.3,70.5,66.8,63.5,76300000,78500000,80700000,82900000,85200000,87600000,90100000,92700000,95400000,98100000,101000000
Vietnam,1010,1070,1140,1190,1240,1310,1380,1430,1490,1570,1650,25.1,24.5,24.1,23.7,23.4,23.1,22.8,22.6,22.3,22.1,21.8,83800000,84600000,85400000,86200000,87100000,88000000,88900000,89800000,90800000,91700000,92700000
Egypt,2110,2220,2330,2460,2520,2600,2590,2590,2590,2610,2670,36,34.4,33,31.6,30.2,29,27.8,26.6,25.5,24.6,23.6,75500000,76900000,78200000,79600000,81100000,82800000,84500000,86400000,88400000,90400000,92400000
Germany,39000,40500,41800,42400,40100,41800,44100,44300,44400,45000,45400,4.73,4.61,4.49,4.38,4.27,4.18,4.09,4.02,3.96,3.9,3.86,81600000,81500000,81300000,81100000,80900000,80800000,80900000,81000000,81200000,81500000,81800000
Iran,5680,5900,6310,6260,6250,6530,6620,6050,5960,6160,6010,25.9,24.4,23.1,21.8,20.7,19.7,18.8,18.1,17.3,16.6,16,69800000,70600000,71300000,72100000,72900000,73800000,74600000,75500000,76500000,77500000,78500000
Turkey,9690,10300,10600,10600,9970,10700,11700,12100,12900,13300,13900,25.4,23.4,21.6,20,18.6,17.3,16.2,15.2,14.3,13.4,12.6,67900000,68800000,69600000,70400000,71300000,72300000,73400000,74700000,75900000,77200000,78500000
"Congo, Dem. Rep.",301,307,315,324,323,334,345,358,375,398,411,138,133,128,124,120,115,111,108,104,101,97.4,54800000,56600000,58500000,60400000,62400000,64600000,66800000,69000000,71400000,73800000,76200000
Thailand,4340,4530,4740,4800,4740,5080,5090,5440,5560,5590,5740,17,16.2,15.4,14.7,14,13.3,12.7,12.1,11.5,11,10.5,65400000,65800000,66200000,66500000,66900000,67200000,67500000,67800000,68100000,68400000,68700000
United Kingdom,39700,40400,41100,40500,38500,38900,39200,39500,40000,40900,41500,6.05,5.92,5.76,5.57,5.37,5.16,4.96,4.78,4.64,4.53,4.45,60300000,60800000,61500000,62100000,62800000,63500000,64000000,64500000,65000000,65400000,65900000
France,40300,40900,41600,41500,40100,40600,41300,41200,41200,41400,41600,4.58,4.47,4.4,4.34,4.31,4.27,4.24,4.21,4.17,4.13,4.1,61100000,61500000,61900000,62200000,62500000,62900000,63200000,63600000,63900000,64200000,64500000
Italy,37200,37900,38200,37600,35400,35800,36000,34900,33900,33600,34000,4.47,4.34,4.23,4.14,4.06,3.97,3.88,3.78,3.68,3.56,3.43,58300000,58500000,58700000,58900000,59100000,59300000,59600000,59900000,60200000,60400000,60600000
South Africa,6600,6890,7190,7340,7150,7280,7420,7480,7550,7580,7580,78.5,76,71,64.8,58,52.5,46.7,43.3,41.2,39.5,37.7,47900000,48500000,49100000,49800000,50500000,51200000,52000000,52800000,53700000,54500000,55400000
Myanmar,604,678,754,826,907,988,1030,1100,1180,1270,1340,76.7,74,71.4,88.9,66,63.3,60.7,58.2,55.8,53.6,51.6,48900000,49300000,49600000,49900000,50300000,50600000,51000000,51400000,51900000,52300000,52700000
Tanzania,611,620,652,667,681,702,734,748,777,806,836,94.2,89.2,84.4,79.9,76.1,72.3,68.8,66,63.7,61.4,59.1,38500000,39500000,40700000,41900000,43100000,44300000,45700000,47100000,48500000,50000000,51500000
South Korea,18600,19400,20400,20800,20800,22100,22700,23100,23700,24300,24900,5.53,5.15,4.81,4.53,4.31,4.13,3.98,3.85,3.73,3.61,3.5,48700000,48900000,49000000,49200000,49300000,49500000,49800000,50100000,50300000,50600000,50800000
Colombia,5310,5600,5910,6050,6080,6250,6590,6790,7050,7290,7450,21.5,20.9,20.3,19.7,19.1,18.5,17.9,17.3,16.8,16.2,15.7,42600000,43200000,43700000,44300000,44800000,45200000,45700000,46100000,46500000,47000000,47500000
Kenya,869,900,936,912,917,967,999,1020,1050,1080,1110,79.3,74,69.1,63.9,59.6,56.5,54.1,52.2,50,48.2,46.3,36600000,37600000,38700000,39800000,40900000,42000000,43200000,44300000,45500000,46700000,47900000
Spain,31100,31900,32500,32300,30900,30700,30300,29400,29000,29500,30500,4.71,4.54,4.36,4.19,4.01,3.85,3.71,3.58,3.47,3.37,3.28,44000000,44700000,45400000,46100000,46600000,46900000,47100000,47100000,46900000,46800000,46700000
Ukraine,2750,2970,3220,3310,2830,2970,3140,3150,3160,3120,2830,14.5,13.9,13.4,12.9,12.3,11.7,11.2,10.6,10.2,9.82,9.5,46900000,46600000,46400000,46200000,46000000,45800000,45600000,45500000,45300000,45100000,44900000
Argentina,8520,9110,9830,10100,9430,10300,10800,10600,10700,10300,10500,16.5,16.1,15.7,15.3,14.9,14.4,13.9,13.3,12.7,12.1,11.5,38900000,39300000,39700000,40100000,40500000,40900000,41300000,41800000,42200000,42600000,43100000
Albania,3190,3380,3610,3780,3930,4090,4210,4280,4330,4410,4520,19.2,17.9,16.7,15.5,14.4,13.3,12.3,11.4,10.7,10.1,9.6,3090000,3060000,3030000,3000000,2970000,2950000,2930000,2910000,2900000,2900000,2890000
Sudan,1190,1280,1390,1460,1460,1480,1590,1800,1830,1840,1880,88.2,85.4,82.8,80.4,78.1,75.9,73.9,72,70.1,68.2,66.3,30900000,31700000,32400000,33100000,33800000,34500000,35300000,36200000,37100000,38000000,38900000
