latitude,longitude,country,capital_city,population,gdp,currency,president
26.820553,30.802498,Egypt,Cairo,42030000,2.19E+11,Pound (EGP),Abdel Fattah el-Sisi
28.16324,2.632388,Algeria,Algiers,35980000,1.61E+11,Dinar (DZD),Abdelmadjid Tebboune
9.081999,8.675277,Nigeria,Lagos,158500000,3.63E+11,Nigerian naira,Muhammadu Buhari
-0.023559,37.906193,Kenya,Nairobi,42030000,40000088347,Kenyan shilling (KSH),Uhuru Kenyatta
-30.559482,22.937506,South Africa,Pretoria,51220000,3.75E+11,South african rand,Cyril Ramaphosa
-19.015438,29.154857,Zimbabwe,Harare,12700000,12041655200,Zimbabwean dollar,Emerson Mnangagwa
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
