timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20200318T0000,11.620529,0,1.7870656,206.56505
20200318T0100,11.400529,0,2.1477854,209.74489
20200318T0200,10.940529,0,1.6204481,189.46233
20200318T0300,10.610529,0,1.332,143.1301
20200318T0400,10.030529,0,1.7057923,141.34018
20200318T0500,9.440529,0,1.506986,135
20200318T0600,8.980529,0,1.332,143.1301
20200318T0700,8.700529,0,1.506986,135
20200318T0800,8.3005295,0,2.1477854,150.25511
20200318T0900,8.450529,0,2.5132127,122.00538
