country,year
Afghanistan,61.2
Albania,78
Algeria,77.1
Angola,63.3
Antigua and Barbuda,76.9
Argentina,76.5
Armenia,75.3
Australia,82.5
Austria,81.5
Azerbaijan,70.5
Bahrain,79.3
Bangladesh,72.5
Barbados,77.1
Belarus,73.8
Belgium,80.9
Belize,74
Benin,63.5
Bhutan,73.5
Bolivia,72.2
Bosnia and Herzegovina,76.4
Botswana,66.9
Brazil,75.5
Brunei,75.1
Bulgaria,74.8
Burkina Faso,60.7
Burundi,60.8
Cambodia,69.3
Cameroon,61.2
Canada,81.7
Cape Verde,75.3
Central African Republic,50.9
Chad,59.2
Chile,79.6
China,76.5
Colombia,80
Comoros,68
"Congo, Dem. Rep.",61.3
"Congo, Rep.",62.2
Costa Rica,79.9
Cote d'Ivoire,61
Croatia,77.6
Cuba,78.2
Cyprus,81.5
Czech Republic,78.8
Denmark,80.9
Djibouti,66.3
Dominica,72.4
Dominican Republic,72.8
Ecuador,76.6
