longitude,country,January_Avg_temp,February_Avg_temp,March_Avg_temp,April_Avg_temp,May_Avg_temp,June_Avg_temp,July_Avg_temp,August_Avg_temp,September_Avg_temp,October_Avg_temp,November_Avg_temp,December_Avg_temp,January_rain,February_rain,March_rain,April_rain,May_rain,June_rain,July_rain,August_rain,September_rain,October_rain,November_rain,December_rain,January_maxtemp,February_maxtemp,March_maxtemp,April_maxtemp,May_maxtemp,June_maxtemp,July_maxtemp,August_maxtemp,September_maxtemp,October_maxtemp,November_maxtemp,December_maxtemp,January_wind,February_wind,March_wind,April_wind,May_wind,June_wind,July_wind,August_wind,September_wind,October_wind,November_wind,December_wind,January_humidity,February_humidity,March_humidity,April_humidity,May_humidity,June_humidity,July_humidity,August_humidity,September_humidity,October_humidity,November_humidity,December_humidity,
133.775136,Australia,27.8351,28.8897,26.1132,21.2017,17.6659,16.096,14.3975,16.3706,19.1778,24.8664,26.9433,27.9971,121.044,53.0465,41.4801,28.963a1,25.1464,20.1992,16.7202,17.6707,8.83991,10.852,41.3037,57.1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-51.92528,Brazil,26.6419,26.3285,26.0379,26.0064,25.1254,24.653,24.6845,25.7821,27.3481,27.1013,27.2134,27.0235,198.674,197.071,250.926,194.346,148.205,71.9657,78.7769,47.016,53.2885,80.3109,121.426,145.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-106.346771,Canada,-22.462,-24.541,-17.645,-9.1398,0.75926,8.19776,12.0246,10.5398,4.69675,-3.4106,-12.083,-18.384,30.0385,23.0041,20.8595,24.7185,26.6057,44.3674,56.4208,55.0817,49.107,40.3259,36.9309,30.4701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.195397,China,-6.2776,-3.2502,2.53774,8.69199,13.893,17.499,19.8881,18.8818,14.3026,8.34222,0.53573,-5.2437,11.9647,14.3772,21.8697,41.2361,66.8066,102.377,90.1429,96.9356,67.1492,38.9183,29.0174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.297333,Colombia,25.3056,25.7845,25.5183,25.3935,25.2236,24.8553,24.887,25.335,25.6609,25.5146,25.4738,25.9488,121.265,106.23,250.665,227.028,185.557,230.521,243.036,178.718,133.138,160.918,176.606,72.9596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.802498,Egypt,13.0383,16.1302,20.3863,21.7983,28.045,29.5302,30.5941,32.0281,30.2414,26.7403,20.2431,13.6412,3.95595,2.71103,2.63489,1.57308,2.02107,1.9485,2.48587,1.90997,1.23057,6.97369,2.78345,3.74498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.435973,United Kingdom,3.87941,3.48429,5.33947,7.63968,9.62099,12.7128,14.5338,14.8757,11.9219,9.93445,8.04995,7.05677,140.519,74.6518,89.9526,47.1568,114.135,56.7888,115.734,114.441,72.6955,91.1255,180.351,224.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.96288,India,17.5619,16.7078,20.0477,23.394,27.2671,30.6109,29.0991,27.4587,27.0139,27.0663,25.8545,22.274,18.6422,16.3729,11.7751,36.9039,54.2276,48.0787,179.885,242.984,241.113,139.515,41.1901,31.5398,6.64288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.688046,Iran,6.81722,8.87059,11.6158,19.1254,24.2077,29.5281,30.1542,29.0276,24.5621,19.3217,12.0019,6.52856,16.969,29.2945,42.8771,11.0238,16.65,4.95372,11.793,2.59113,2.78334,16.7046,17.5898,33.9842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.906193,Kenya,25.0435,26.386,26.5572,26.0706,25.0663,24.5884,24.4622,24.3538,25.425,26.9733,25.2908,26.2345,26.2482,21.8238,48.4594,136.338,101.457,70.9284,20.7931,17.9734,36.7493,64.3615,163.608,63.2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.675277,Nigeria,24.4471,28.0419,29.9223,29.9673,30.2297,28.6091,26.9127,25.8921,26.6019,27.9224,26.7689,23.5035,0.7034,7.7622,45.5051,22.0359,76.5516,153.85,125.849,239.792,172.782,116.428,10.9163,1.94941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
